title,author,coverImage,tropes,affiliateLink
Just Next Door,Sarah Everly,https://m.media-amazon.com/images/I/715yhpqDvTL._SL1500_.jpg,"Small Town, Forced Proximity, Grumpy-Sunshine, Low Angst",https://amzn.to/4mW2YUj
Sidelined ,Sarah Everly,https://m.media-amazon.com/images/I/71O8GLzZ2eL._SL1500_.jpg,"Football, Vacation Fling, Strangers to Lovers, Low Angst",https://amzn.to/4m6NvjZ
Delay of Game,Sarah Everly,https://m.media-amazon.com/images/I/81wCee3Z0kL._SL1500_.jpg,"Football, Age Gap, Grumpy-Sunshine, Single Dad ",https://amzn.to/46S1TYM
Second Down Fake,Sarah Everly,https://m.media-amazon.com/images/I/71f+PVoMkwL._SL1500_.jpg,"Football, Fake Dating, Friends to Lovers, Just One Bed",https://amzn.to/4mGPnA3
False Start,Sarah Everly,https://m.media-amazon.com/images/I/816E+mzW9+L._SL1500_.jpg,"Football, Road Trip, Forced Proximity, Strangers to Lovers, Just One Bed",https://amzn.to/4owAAJG
Jingle Ale the Way,Sarah Everly,https://m.media-amazon.com/images/I/713Qm6Yw4jL._SL1500_.jpg,"Small Town, Holiday, Friends to Lovers, Two-Hour Read",https://amzn.to/3Ha2dYt
Any Girl Will Do,Jenna McCall,https://m.media-amazon.com/images/I/914fucP8XmL._SY466_.jpg,"Grumpy Sunshine, Fake Dating, Slow Burn, Hockey, ",https://amzn.to/47Moh62
Unleashed,Jenna McCall,https://m.media-amazon.com/images/I/51PqJ+Q8ZmL._SY445_SX342_ControlCacheEqualizer_.jpg,"Enemies to Lovers, Hockey, Slow Burn, Forced Proximity,",https://amzn.to/45GKmQY
Dahlia Made a List,Jenna McCall,https://m.media-amazon.com/images/I/51mFKT26tqL._SY445_SX342_ControlCacheEqualizer_.jpg,"Grumpy Sunshine, Small Town, ADHD Rep, Meddling Grandmother",https://amzn.to/4lHZJOV
Any Other Day,Jenna McCall,https://m.media-amazon.com/images/I/51GsCfntoCL._SY445_SX342_ControlCacheEqualizer_.jpg,"Grumpy Sunshine, Injury Recovery, Caretaking, Slow Burn, Hockey",https://amzn.to/47MoohY
